,Date,Status,state,cases
392,2020-07-22,Deceased,TT,1130
393,2020-07-23,Confirmed,TT,48443
394,2020-07-23,Recovered,TT,33326
395,2020-07-23,Deceased,TT,755
396,2020-07-24,Confirmed,TT,48888
397,2020-07-24,Recovered,TT,32514
398,2020-07-24,Deceased,TT,763
399,2020-07-25,Confirmed,TT,50072
400,2020-07-25,Recovered,TT,37125
401,2020-07-25,Deceased,TT,703
402,2020-07-26,Confirmed,TT,48932
403,2020-07-26,Recovered,TT,31512
404,2020-07-26,Deceased,TT,704
405,2020-07-27,Confirmed,TT,46484
406,2020-07-27,Recovered,TT,34354
407,2020-07-27,Deceased,TT,642
408,2020-07-28,Confirmed,TT,49631
409,2020-07-28,Recovered,TT,35683
410,2020-07-28,Deceased,TT,774
411,2020-07-29,Confirmed,TT,52479
412,2020-07-29,Recovered,TT,32886
413,2020-07-29,Deceased,TT,775
414,2020-07-30,Confirmed,TT,54968
415,2020-07-30,Recovered,TT,37425
416,2020-07-30,Deceased,TT,784
417,2020-07-31,Confirmed,TT,57486
418,2020-07-31,Recovered,TT,36554
419,2020-07-31,Deceased,TT,764
420,2020-08-01,Confirmed,TT,55117
421,2020-08-01,Recovered,TT,51368
422,2020-08-01,Deceased,TT,854
423,2020-08-02,Confirmed,TT,52672
424,2020-08-02,Recovered,TT,40355
425,2020-08-02,Deceased,TT,760
426,2020-08-03,Confirmed,TT,50488
427,2020-08-03,Recovered,TT,43070
428,2020-08-03,Deceased,TT,806
429,2020-08-04,Confirmed,TT,51282
430,2020-08-04,Recovered,TT,51220
431,2020-08-04,Deceased,TT,849
432,2020-08-05,Confirmed,TT,56626
433,2020-08-05,Recovered,TT,45583
434,2020-08-05,Deceased,TT,919
435,2020-08-06,Confirmed,TT,62170
436,2020-08-06,Recovered,TT,50141
437,2020-08-06,Deceased,TT,899
438,2020-08-07,Confirmed,TT,61455
439,2020-08-07,Recovered,TT,50387
440,2020-08-07,Deceased,TT,936
441,2020-08-08,Confirmed,TT,65156
442,2020-08-08,Recovered,TT,52135
443,2020-08-08,Deceased,TT,875
444,2020-08-09,Confirmed,TT,62117
