,Date,abbreviation,Confirmed,Deceased,Recovered,State,population,Total Doses Administered
244,2021-01-20,CT,594,10,718,Chhattisgarh,25545198,3351
245,2021-01-20,DL,228,10,405,Delhi,"16,787,941",3041
246,2021-01-20,GA,87,0,84,Goa,1458545,72
247,2021-01-20,GJ,490,2,707,Gujarat,60439692,4877
248,2021-01-20,HP,63,0,72,Himachal Pradesh,6864602,448
249,2021-01-20,HR,105,4,204,Haryana,25351462,12354
250,2021-01-20,JH,125,0,170,Jharkhand,32988134,2258
251,2021-01-20,JK,109,0,113,Jammu and Kashmir,12541302,1369
252,2021-01-20,KA,501,4,665,Karnataka,61095297,36705
253,2021-01-20,KL,6815,18,7364,Kerala,33406061,5398
254,2021-01-20,LD,9,0,0,Lakshadweep,"64,473",629
255,2021-01-20,MH,3015,59,4589,Maharashtra,112374333,23880
256,2021-01-20,ML,7,0,7,Meghalaya,2966889,189
257,2021-01-20,MN,19,0,10,Manipur,2855794,426
258,2021-01-20,MP,280,7,997,Madhya Pradesh,72626809,27769
259,2021-01-20,MZ,5,0,17,Mizoram,1097206,291
260,2021-01-20,NL,1,0,7,Nagaland,1978502,1070
261,2021-01-20,PB,199,4,202,Punjab,27743338,2432
262,2021-01-20,RJ,213,2,438,Rajasthan,68548437,13146
263,2021-01-20,SK,5,0,1,Sikkim,610577,62
264,2021-01-20,TG,267,2,351,Telangana,35200000,11291
265,2021-01-20,TN,549,9,713,Tamil Nadu,72147030,9060
266,2021-01-20,TN,549,9,713,Tamil Nadu,67900000,9060
267,2021-01-20,TR,1,0,2,Tripura,3673917,687
268,2021-01-20,TR,1,0,2,Tripura,3600000,687
269,2021-01-20,UP,390,7,682,Uttar Pradesh,199812341,1568
270,2021-01-20,UT,153,3,131,Uttarakhand,10086292,1141
271,2021-01-20,WB,409,6,509,West Bengal,91276115,14624
272,2021-01-21,AN,0,0,4,Andaman and Nicobar Islands,380581,239
273,2021-01-21,AP,139,0,254,Andhra Pradesh,49700000,45040
274,2021-01-21,AR,1,0,9,Arunachal Pradesh,1383727,1154
275,2021-01-21,AS,21,0,116,Assam,31205576,2163
276,2021-01-21,BR,168,4,315,Bihar,104099452,25254
277,2021-01-21,CH,16,1,40,Chandigarh,1055450,281
278,2021-01-21,CT,560,8,711,Chhattisgarh,25545198,5752
279,2021-01-21,DL,227,8,246,Delhi,"16,787,941",5308
280,2021-01-21,GA,55,1,54,Goa,1458545,72
281,2021-01-21,GJ,471,1,727,Gujarat,60439692,8350
282,2021-01-21,HP,39,3,55,Himachal Pradesh,6864602,610
283,2021-01-21,HR,133,3,185,Haryana,25351462,21411
284,2021-01-21,JH,67,1,136,Jharkhand,32988134,2258
285,2021-01-21,JK,117,1,104,Jammu and Kashmir,12541302,2296
286,2021-01-21,KA,674,2,815,Karnataka,61095297,47344
287,2021-01-21,KL,6334,21,6229,Kerala,33406061,9175
288,2021-01-21,LD,18,0,0,Lakshadweep,"64,473",724
289,2021-01-21,MH,2886,52,3980,Maharashtra,112374333,24148
290,2021-01-21,ML,4,2,6,Meghalaya,2966889,380
291,2021-01-21,MN,19,0,43,Manipur,2855794,426
292,2021-01-21,MP,301,6,704,Madhya Pradesh,72626809,38425
293,2021-01-21,MZ,12,0,6,Mizoram,1097206,632
294,2021-01-21,NL,3,0,2,Nagaland,1978502,1267
295,2021-01-21,PB,180,15,227,Punjab,27743338,4780
296,2021-01-21,RJ,265,2,406,Rajasthan,68548437,13605
297,2021-01-21,SK,5,0,17,Sikkim,610577,186
298,2021-01-21,TG,226,1,224,Telangana,35200000,17837
299,2021-01-21,TN,596,9,705,Tamil Nadu,72147030,15654
300,2021-01-21,TN,596,9,705,Tamil Nadu,67900000,15654
301,2021-01-21,TR,2,0,4,Tripura,3673917,1812
302,2021-01-21,TR,2,0,4,Tripura,3600000,1812
303,2021-01-21,UP,195,6,345,Uttar Pradesh,199812341,1578
304,2021-01-21,UT,162,4,283,Uttarakhand,10086292,1874
305,2021-01-21,WB,416,9,517,West Bengal,91276115,20206
306,2021-01-22,AN,1,0,3,Andaman and Nicobar Islands,380581,552
307,2021-01-22,AP,137,4,167,Andhra Pradesh,49700000,55697
308,2021-01-22,AR,1,0,2,Arunachal Pradesh,1383727,1818
309,2021-01-22,AS,17,0,103,Assam,31205576,3947
310,2021-01-22,BR,168,4,458,Bihar,104099452,25773
311,2021-01-22,CH,25,1,33,Chandigarh,1055450,507
312,2021-01-22,CT,440,8,763,Chhattisgarh,25545198,5807
313,2021-01-22,DL,266,7,319,Delhi,"16,787,941",5331
314,2021-01-22,GA,70,1,80,Goa,1458545,300
315,2021-01-22,GJ,451,2,700,Gujarat,60439692,13183
316,2021-01-22,HP,41,0,81,Himachal Pradesh,6864602,1427
317,2021-01-22,HR,120,5,209,Haryana,25351462,33730
318,2021-01-22,JH,75,2,127,Jharkhand,32988134,4023
319,2021-01-22,JK,88,4,97,Jammu and Kashmir,12541302,3807
320,2021-01-22,KA,324,3,890,Karnataka,61095297,77432
321,2021-01-22,KL,6753,19,6108,Kerala,33406061,15501
322,2021-01-22,LD,2,0,0,Lakshadweep,"64,473",734
323,2021-01-22,MH,2779,50,3419,Maharashtra,112374333,44369
324,2021-01-22,ML,2,0,3,Meghalaya,2966889,525
325,2021-01-22,MN,15,2,36,Manipur,2855794,693
326,2021-01-22,MP,347,4,463,Madhya Pradesh,72626809,38425
327,2021-01-22,MZ,3,0,8,Mizoram,1097206,1494
328,2021-01-22,NL,2,0,5,Nagaland,1978502,1563
329,2021-01-22,PB,206,8,217,Punjab,27743338,9676
330,2021-01-22,RJ,201,0,416,Rajasthan,68548437,24545
331,2021-01-22,SK,1,0,9,Sikkim,610577,296
332,2021-01-22,TG,214,2,351,Telangana,35200000,24830
333,2021-01-22,TN,574,8,689,Tamil Nadu,72147030,23659
334,2021-01-22,TN,574,8,689,Tamil Nadu,67900000,23659
335,2021-01-22,TR,4,0,5,Tripura,3673917,3321
336,2021-01-22,TR,4,0,5,Tripura,3600000,3321
337,2021-01-22,UP,303,8,484,Uttar Pradesh,199812341,21325
338,2021-01-22,UT,110,3,183,Uttarakhand,10086292,3163
339,2021-01-22,WB,406,8,493,West Bengal,91276115,41970
340,2021-01-23,AN,1,0,0,Andaman and Nicobar Islands,380581,920
341,2021-01-23,AP,158,1,172,Andhra Pradesh,49700000,70380
342,2021-01-23,AR,1,0,1,Arunachal Pradesh,1383727,2446
343,2021-01-23,AS,19,0,94,Assam,31205576,4061
344,2021-01-23,BR,149,4,203,Bihar,104099452,38409
345,2021-01-23,CH,22,1,31,Chandigarh,1055450,790
346,2021-01-23,CT,377,8,637,Chhattisgarh,25545198,12185
347,2021-01-23,DL,197,10,367,Delhi,"16,787,941",12312
348,2021-01-23,GA,85,3,63,Goa,1458545,971
349,2021-01-23,GJ,423,1,702,Gujarat,60439692,44873
350,2021-01-23,HP,27,1,73,Himachal Pradesh,6864602,5396
351,2021-01-23,HR,136,4,158,Haryana,25351462,43350
352,2021-01-23,JH,78,1,177,Jharkhand,32988134,4117
353,2021-01-23,JK,94,1,88,Jammu and Kashmir,12541302,5593
354,2021-01-23,KA,902,3,542,Karnataka,61095297,84585
355,2021-01-23,KL,6960,23,5283,Kerala,33406061,21944
356,2021-01-23,LD,7,0,0,Lakshadweep,"64,473",734
357,2021-01-23,MH,2697,56,3694,Maharashtra,112374333,69295
358,2021-01-23,ML,4,0,10,Meghalaya,2966889,709
359,2021-01-23,MN,17,0,18,Manipur,2855794,1097
360,2021-01-23,MP,291,6,454,Madhya Pradesh,72626809,38428
361,2021-01-23,MZ,0,0,2,Mizoram,1097206,1870
362,2021-01-23,NL,4,0,4,Nagaland,1978502,1574
363,2021-01-23,PB,211,10,232,Punjab,27743338,16519
364,2021-01-23,RJ,203,2,472,Rajasthan,68548437,47915
365,2021-01-23,SK,5,1,10,Sikkim,610577,299
366,2021-01-23,TG,221,2,431,Telangana,35200000,26183
367,2021-01-23,TN,586,2,673,Tamil Nadu,72147030,31127
368,2021-01-23,TN,586,2,673,Tamil Nadu,67900000,31127
369,2021-01-23,TR,2,0,3,Tripura,3673917,3349
370,2021-01-23,TR,2,0,3,Tripura,3600000,3349
371,2021-01-23,UP,319,4,513,Uttar Pradesh,199812341,30644
372,2021-01-23,UT,122,0,212,Uttarakhand,10086292,3238
373,2021-01-23,WB,410,10,474,West Bengal,91276115,43180
374,2021-01-24,AN,0,0,1,Andaman and Nicobar Islands,380581,966
375,2021-01-24,AP,158,0,155,Andhra Pradesh,49700000,74221
376,2021-01-24,AR,1,0,20,Arunachal Pradesh,1383727,2529
377,2021-01-24,AS,16,1,99,Assam,31205576,4416
378,2021-01-24,BR,131,3,267,Bihar,104099452,38787
379,2021-01-24,CH,32,1,22,Chandigarh,1055450,797
380,2021-01-24,CT,298,8,366,Chhattisgarh,25545198,12506
381,2021-01-24,DL,185,9,315,Delhi,"16,787,941",12614
382,2021-01-24,GA,53,0,102,Goa,1458545,1033
383,2021-01-24,GJ,410,1,704,Gujarat,60439692,46456
384,2021-01-24,HP,21,2,52,Himachal Pradesh,6864602,5594
385,2021-01-24,HR,128,1,175,Haryana,25351462,44934
386,2021-01-24,JH,54,2,109,Jharkhand,32988134,4573
387,2021-01-24,JK,73,0,73,Jammu and Kashmir,12541302,5893
388,2021-01-24,KA,573,4,401,Karnataka,61095297,93426
389,2021-01-24,KL,6036,20,5173,Kerala,33406061,23324
390,2021-01-24,LD,0,0,0,Lakshadweep,"64,473",749
391,2021-01-24,MH,2752,45,1743,Maharashtra,112374333,70196
392,2021-01-24,ML,5,0,16,Meghalaya,2966889,713
393,2021-01-24,MN,16,0,11,Manipur,2855794,1109
394,2021-01-24,MP,252,3,388,Madhya Pradesh,72626809,38430
395,2021-01-24,MZ,2,0,5,Mizoram,1097206,1945
396,2021-01-24,NL,0,0,1,Nagaland,1978502,1583
397,2021-01-24,PB,197,2,232,Punjab,27743338,17712
398,2021-01-24,RJ,167,0,468,Rajasthan,68548437,74727
399,2021-01-24,SK,3,1,9,Sikkim,610577,309
400,2021-01-24,TG,197,1,376,Telangana,35200000,27829
401,2021-01-24,TN,569,7,642,Tamil Nadu,72147030,35144
402,2021-01-24,TN,569,7,642,Tamil Nadu,67900000,35144
403,2021-01-24,TR,0,0,0,Tripura,3673917,3774
404,2021-01-24,TR,0,0,0,Tripura,3600000,3774
405,2021-01-24,UP,268,8,508,Uttar Pradesh,199812341,43669
406,2021-01-24,UT,54,2,25,Uttarakhand,10086292,3592
407,2021-01-24,WB,389,8,454,West Bengal,91276115,46143
408,2021-01-25,AN,1,0,9,Andaman and Nicobar Islands,380581,1519
409,2021-01-25,AP,56,2,141,Andhra Pradesh,49700000,89879
410,2021-01-25,AR,1,0,4,Arunachal Pradesh,1383727,3442
411,2021-01-25,AS,25,0,83,Assam,31205576,10886
412,2021-01-25,BR,82,4,222,Bihar,104099452,51676
413,2021-01-25,CH,61,0,54,Chandigarh,1055450,1172
414,2021-01-25,CT,484,13,539,Chhattisgarh,25545198,24018
415,2021-01-25,DL,148,5,190,Delhi,"16,787,941",20373
416,2021-01-25,GA,57,1,113,Goa,1458545,1285
417,2021-01-25,GJ,390,3,707,Gujarat,60439692,62496
418,2021-01-25,HP,35,0,63,Himachal Pradesh,6864602,6104
419,2021-01-25,HR,118,4,247,Haryana,25351462,72277
420,2021-01-25,JH,74,1,122,Jharkhand,32988134,8636
421,2021-01-25,JK,64,0,83,Jammu and Kashmir,12541302,10498
422,2021-01-25,KA,375,3,1036,Karnataka,61095297,138721
423,2021-01-25,KL,3361,17,5606,Kerala,33406061,43561
424,2021-01-25,LD,10,0,0,Lakshadweep,"64,473",752
425,2021-01-25,MH,1842,30,3080,Maharashtra,112374333,107073
426,2021-01-25,ML,2,0,9,Meghalaya,2966889,1249
427,2021-01-25,MN,11,0,26,Manipur,2855794,1319
428,2021-01-25,MP,200,2,861,Madhya Pradesh,72626809,66875
